
#MOON
Name       Lezaria~
Color      red~
World      Eaorth~
Phase      2
Set        4
Rise       18
Type       2

#MOON
Name       Ismit~
Color      black~
World      Eaorth~
Phase      4
Set        6
Rise       7
Type       0

#MOON
Name       Thoth~
Color      Green~
World      Eaorth~
Phase      2
Set        4
Rise       7
Type       0

#MOON
Name       celestra~
Color      blue~
World      Sasherey~
Phase      1
Set        5
Rise       23
Type       0

#MOON
Name       war~
Color      blood red~
World      Mezulbryst~
Phase      3
Set        2
Rise       5
Type       0

#MOON
Name       famine~
Color      ochre~
World      Mezulbryst~
Phase      1
Set        20
Rise       4
Type       0

#MOON
Name       pestilence~
Color      sickly green~
World      Mezulbryst~
Phase      3
Set        7
Rise       16
Type       0

#MOON
Name       harvest~
Color      gold~
World      Wilderplane~
Phase      4
Set        11
Rise       18
Type       0

#MOON
Name       mist~
Color      white~
World      Hasaris~
Phase      3
Set        10
Rise       16
Type       0

#MOON
Name       khan~
Color      fiery red~
World      Corstad~
Phase      3
Set        5
Rise       13
Type       0

#MOON
Name       shimmer~
Color      lavender~
World      sashery~
Phase      2
Set        18
Rise       20
Type       0

#MOON
Name       bondala~
Color      deep blue~
World      corstad~
Phase      2
Set        17
Rise       10
Type       0

#MOON
Name       regalia~
Color      purple~
World      Hasaris~
Phase      3
Set        1
Rise       21
Type       0

#MOON
Name       quicksilver~
Color      silver~
World      Corstad~
Phase      1
Set        17
Rise       20
Type       0

#MOON
Name       thought~
Color      lavender~
World      Wilderplane~
Phase      3
Set        20
Rise       19
Type       0

#MOON
Name       luna~
Color      white~
World      Terra~
Phase      3
Set        6
Rise       19
Type       0
#END
