#OBJECT
ShortDescr   arrow~
Vnum         29048
Room         20194
Condition	50
Values       20 1 279 0 0 8 32681
End

#OBJECT
Vnum         29048
Room         20181
Condition	50
Values       20 1 100 0 0 8 32612
End

#OBJECT
Vnum         29031
Room         20181
Condition	150
Values       0 5 121 0 0 2 32612
End

#OBJECT
Vnum         21001
Room         20036
Condition	500000
End

#OBJECT
Vnum         20001
Room         20037
ExtraFlags   8192
Condition	50
Cost         0
Values       1 31 20 -1 -1 -1 0
Spell 1      'refresh'
Spell 2      'hyperactivity'
End

#OBJECT
Vnum         20002
Room         20037
ExtraFlags   8192
Condition	50
Cost         0
Values       1 -1 35 37 0 0 0
Spell 2      'sedate'
Spell 3      'sleep'
End

#OBJECT
Vnum         20
Room         20038
ExtraFlags   73728
Condition	50
Timer        12
Cost         0
Values       20 12 0 0 0 0 0
End

#OBJECT
Vnum         20009
Room         20039
ExtraFlags   8192
Condition	50
Cost         0
Values       5 5 1 0 75559 0 0
End

#OBJECT
Vnum         20029
Room         20039
ExtraFlags   8192
Condition	50
Cost         0
Values       20 20 10 0 75558 0 0
End

#OBJECT
Vnum         22
Room         20040
Condition	500000
Values       100000 100000 0 0 0 0 0
End

#OBJECT
Vnum         30
Room         20041
Condition	500000
End

#OBJECT
Vnum         21001
Room         20041
Condition	500000
End

#OBJECT
Vnum         21001
Room         20043
Condition	500000
End

#OBJECT
Vnum         21001
Room         20045
Condition	500000
End

#OBJECT
Vnum         20098
Room         20047
ExtraFlags   139265
Condition	500000
End

#OBJECT
Vnum         20118
Room         20048
ExtraFlags   532480
Condition	50
Cost         0
Values       0 0 0 0 0 7 0
End

#OBJECT
Vnum         20117
Room         20048
ExtraFlags   598016
Condition	50
Cost         0
Values       0 0 0 0 0 9 0
End

#OBJECT
Vnum         21001
Room         20059
Condition	500000
End

#OBJECT
Vnum         21001
Room         20071
Condition	500000
End

#OBJECT
Vnum         21001
Room         20072
Condition	500000
End

#OBJECT
Vnum         21001
Room         20083
Condition	500000
End

#OBJECT
Vnum         21001
Room         20101
Condition	500000
End

#OBJECT
Vnum         21001
Room         20112
Condition	500000
End

#OBJECT
Vnum         21001
Room         20145
Condition	500000
End

#OBJECT
Vnum         21001
Room         20151
Condition	500000
End

#OBJECT
Vnum         21001
Room         20153
Condition	500000
End

#OBJECT
Vnum         21001
Room         20154
Condition	500000
End

#OBJECT
Vnum         21001
Room         20155
Condition	500000
End

#OBJECT
Vnum         21001
Room         20156
Condition	500000
End

#OBJECT
