#SOCIAL
Name        1~
Flags	     0
CharNoArg   Having trouble typing?~
OthersNoArg $n is having typing problems.~
CharFound   Having trouble typing?~
OthersFound $n is having typing problems.~
VictFound   $n is having typing problems.~
CharAuto    Having trouble typing?~
OthersAuto  $n is having typing problems.~
End

#SOCIAL
Name        ?~
Flags	     0
CharNoArg   You have a questioning look on your face.~
OthersNoArg $n has a questioning look on $s face.~
CharFound   You give a questioning look to $N.~
OthersFound $n gives a questioning look to $N.~
VictFound   $n looks at you questioningly.~
CharAuto    You question your existance.~
OthersAuto  $n takes a moment to question $s existance.~
End

#SOCIAL
Name        accuse~
Flags	     0
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $M.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        admire~
Flags	     0
CharNoArg   Huh?  You have to admire someone:  admire <person>.~
CharFound   You watch and admire $M.~
OthersFound $n watches and admires $N.~
VictFound   $n watches and admires you.~
CharAuto    You admire yourself in the mirror.~
OthersAuto  $n admires $mself in the mirror.~
End

#SOCIAL
Name        adore~
Flags	     0
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        adrienna~
Flags	     0
CharNoArg   You aren't sure who Adrienna is.~
OthersNoArg $n isn't sure who Adrienna is.~
CharFound   You wonder who $N is.~
OthersFound $n wonders who $N is.~
VictFound   $n wonders who the hell you are.~
CharAuto    Nobody knows who you are, rather like Adrienna.~
OthersAuto  Nobody knows who $n is, rather like Adrienna.~
End

#SOCIAL
Name        agree~
Flags	     0
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        ahem~
Flags	     0
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        apologize~
Flags	     0
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
Flags	     0
CharNoArg   Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You give $N a round of applause.~
OthersFound $n gives $N a round of applause.~
VictFound   $n gives you a round of applause.~
CharAuto    You applaud at yourself.~
OthersAuto  $n applauds at $mself.~
End

#SOCIAL
Name        arf~
Flags	     0
CharNoArg   You exclaim 'Arf!  Arf!  Arf!'~
OthersNoArg $n exclaims 'Arf!  Arf!  Arf!'~
CharFound   You look at $N and exclaim 'Arf!  Arf!  Arf!'~
OthersFound $n looks at $N and exclaims 'Arf!  Arf!  Arf!'~
VictFound   $n looks at you and exclaims 'Arf!  Arf!  Arf!'~
CharAuto    You run around the room exclaiming 'Arf!  Arf!  Arf!'~
OthersAuto  $n runs around the room exclaiming 'Arf!  Arf!  Arf!'~
End

#SOCIAL
Name        award~
Flags	     0
CharNoArg   You hold up an award.~
OthersNoArg $n holds up an award.~
CharFound   You give $N an award!~
OthersFound $n gives $N an award!~
VictFound   $n gives you an award!~
CharAuto    You give yourself an award!~
OthersAuto  $n gives $mself an award! How conceited!~
End

#SOCIAL
Name        babble~
Flags	     0
CharNoArg   You babble incoherently.~
OthersNoArg $n babbles incoherently.~
CharFound   You begin to babble at $N and $E can't understand a word you are saying.~
OthersFound $n tries to say something to $N but just babbles like an idiot.~
VictFound   $n tries to talk to you but just babbles like an idiot.~
CharAuto    You babble at yourself.~
OthersAuto  $n begins to babble like an idiot.~
End

#SOCIAL
Name        baffle~
Flags	     0
CharNoArg   You scrunch up your face cuz you are totally baffled!~
OthersNoArg $n scrunches up $s face cuz $e is totally baffled!~
CharFound   You scrunch up your face at $N cuz $S behavior totally baffles you!~
OthersFound $n scrunches up $s face at $N cuz $n is totally baffled by $N!~
VictFound   $n scrunches up $s face at you cuz you totally baffle $m!~
CharAuto    You baffle yourself.~
OthersAuto  $n seems to be baffled by $s own thoughts.~
End

#SOCIAL
Name        bark~
Flags	     0
CharNoArg   You bark.~
OthersNoArg $n barks.~
CharFound   You bark at $M.~
OthersFound $n barks at $N.~
VictFound   $n barks at you.~
CharAuto    You bark at yourself.  Woof!  Woof!~
OthersAuto  $n barks at $mself.  Woof!  Woof!~
End

#SOCIAL
Name        bbiab~
Flags	     0
CharNoArg   You announce that you'll be back in a bit.~
OthersNoArg $n announces that $e'll be back in a bit.~
CharFound   You announce to $N that you'll be back in a bit.~
OthersFound $n announces to $N that $e'll be back in a bit.~
VictFound   $n announces to you that $e'll be back in a bit.~
CharAuto    You ask 'Why do people abbrivate such easy things to say?!?'~
OthersAuto  $n asks 'Why do people abbrivaite such easy things to say?!?'~
End

#SOCIAL
Name        bearhug~
Flags	     64
CharNoArg   You give $t a big BEARHUG!~
OthersNoArg $n gives $t a big BEARHUG!~
CharFound   You give $N a $t BEARHUG!~
OthersFound $n gives $N a $t BEARHUG!~
VictFound   $n gives you a $t BEARHUG!~
CharAuto    You give yourself a $t bearhug!~
OthersAuto  $n gives $mself a $t bearhug!~
Adj	     big~
End

#SOCIAL
Name        beckon~
Flags	     0
CharNoArg   You beckon everyone to follow you.~
OthersNoArg $n beckons everyone to follow $m.~
CharFound   You beckon $N to follow you.~
OthersFound $n beckons $N to follow $m.~
VictFound   $n beckons you to follow $m.~
CharAuto    You beckon nobody in particular to follow you.~
OthersAuto  $n beckons nobody in particular to follow $m.~
End

#SOCIAL
Name        beg~
Flags	     4
CharNoArg   You beg the gods for mercy.~
OthersNoArg The gods fall down laughing at $n's request for mercy.~
CharFound   You desperately try to squeeze a few coins from $M.~
OthersFound $n begs $N for a gold piece!~
VictFound   $n begs you for money.~
CharAuto    Begging yourself for money doesn't help.~
OthersAuto  $n begs himself for money.~
End

#SOCIAL
Name        bflop~
Flags	     0
CharNoArg   You do a bellyflop into the nearest water!~
OthersNoArg $n does a bellyflop right into some water and .,:SPLASHES:,. water all over the place.~
CharFound   You aim your bellyflopped water at $N and splash $M!~
OthersFound $n does a high diving bellyflop into some water and generously .,:SPLASHES:,. gallon upon gallon on $N!~
VictFound   Water consumes your body as $n .,:SPLASHES:,. you with $s bellyflop!~
CharAuto    You just hurt yourself by ::SMACKING:: your body into the nearest water!~
OthersAuto  $n does a bellyflop on $mself and ::SMACKS:: into the top layer of the water. Ouch, that's gotta hurt!~
End

#SOCIAL
Name        bkiss~
Flags	     0
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N.  Touching, ain't it?~
VictFound   $n blows a kiss to you.  Not as good as a real one, huh?~
CharAuto    You blow a kiss to yourself.~
OthersAuto  $n blows a kiss to $mself.  Weird.~
End

#SOCIAL
Name        blah~
Flags	     160
CharNoArg   You blah.~
OthersNoArg $n blahs.~
CharFound   You blah at $N.~
OthersFound $n blahs at $N.~
VictFound   $n blahs at you.~
CharAuto    You blah at yourself.~
OthersAuto  $n blahs at $mself.~
End

#SOCIAL
Name        blanch~
Flags	     0
CharNoArg   The blood drains from your face.~
OthersNoArg $n's face pales at the thought.~
CharFound   Your face drains of all color at $S chilling words.~
OthersFound $n turns bone-white in response to what $N said.~
VictFound   $n simply stares at you, the blood draining from $s face.~
CharAuto    Did you just say that?!~
OthersAuto  $n can't believe what $e's saying.~
End

#SOCIAL
Name        blank~
Flags	     0
CharNoArg   You get a blank look on your face.~
OthersNoArg $n gets a blank look on $s face.~
CharFound   You look at $N but draw a complete blank.~
OthersFound $n looks at $N but draws a blank.~
VictFound   $n looks at you and draws a total blank.~
CharAuto    You get a blank look on your face.~
OthersAuto  $n gets a blank look on $s face.~
End

#SOCIAL
Name        bleed~
Flags	     0
CharNoArg   You bleed all over the room!~
OthersNoArg $n bleeds all over the room!  Get out of $s way!~
CharFound   You bleed all over $M!~
OthersFound $n bleeds all over $N.  Better leave, you may be next!~
VictFound   $n bleeds all over you!  YUCK!~
CharAuto    You bleed all over yourself!~
OthersAuto  $n bleeds all over $mself.~
End

#SOCIAL
Name        blink~
Flags	     0
CharNoArg   You blink for a moment.~
OthersNoArg $n blinks for a moment.~
CharFound   You blink at $M in confusion.~
OthersFound $n blinks at $N.~
VictFound   $n blinks at you.~
CharAuto    You are sooooooooooooo confused~
OthersAuto  $n blinks at $mself in complete confusion.~
End

#SOCIAL
Name        blownose~
Flags	     0
CharNoArg   You blow your nose loudly.~
OthersNoArg $n blows $s nose loudly.~
CharFound   You blow your nose on $S shirt.~
OthersFound $n blows $s nose on $N's shirt.~
VictFound   $n blows $s nose on your shirt.~
CharAuto    You blow your nose on your shirt.~
OthersAuto  $n blows $s nose on $s shirt.~
End

#SOCIAL
Name        blush~
Flags	     0
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
CharFound   You get all flustered up seeing $M.~
OthersFound $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.  Such an effect on people!~
CharAuto    You blush at your own folly.~
OthersAuto  $n blushes as $e notices $s boo-boo.~
End

#SOCIAL
Name        bob~
Flags	     0
CharNoArg   You lose your link again, just like Bob!~
OthersNoArg $n loses $s link again, just like Bob!~
CharFound   You announce yourself to $N as Sensei $n!~
OthersFound $n announces $m self to $N as Sensei $n!~
VictFound   $n announces $m self to you as Sensei $n!~
CharAuto    Oh my it seems you have died again, are you imitating Bob?~
OthersAuto  $n impersonates Bob and dies again.~
End

#SOCIAL
Name        boggle~
Flags	     0
CharNoArg   You boggle in complete incomprehension.~
OthersNoArg $n boggles in complete incomprehension.~
CharFound   You boggle in complete incomprehension of $S actions.~
OthersFound $n boggles in complete incomprehension of $N's actions.~
VictFound   $n boggles in complete incomprehension of your actions.~
CharAuto    You boggle in complete incomprehension of your own actions.  Confused?~
OthersAuto  $n boggles, plain and simple.~
End

#SOCIAL
Name        bonk~
Flags	     4
CharNoArg   You look for someone to bonk!~
OthersNoArg $n is looking for someone to bonk, go hide!~
CharFound   You bonk $M on the head!  BONK!  BONK!  BONK!~
OthersFound $n bonks $N silly!  BONK!  BONK!  BONK!~
VictFound   $n bonks you on the head!~
